net,length_um
clknet_3_5__leaf_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,360.38µm
_22196_,360.33µm
net549,359.72µm
_06759_,359.46µm
net35,359.36µm
net467,359.36µm
_12476_,359.21µm
_18811_,359.21µm
net664,359.16µm
_18852_,358.9µm
net738,358.65µm
net1056,358.65µm
net835,358.6µm
clknet_4_2__leaf_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,358.24µm
net359,358.04µm
_22427_,357.94µm
_06444_,357.86µm
_14188_,357.73µm
net34,357.63µm
net206,357.63µm
net837,357.51µm
net552,357.48µm
net638,357.46µm
net470,357.33µm
_05622_,357.3µm
i_core_v_mini_mcu.peripheral_subsystem_clkgate_en_n,357.28µm
net69,357.27µm
net1117,357.27µm
net85,357.17µm
net900,357.02µm
net590,356.87µm
net657,356.87µm
_12518_,356.82µm
net643,356.77µm
net1013,356.66µm
net457,356.56µm
_10693_,356.28µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[26\],356.26µm
net628,355.9µm
net624,355.72µm
net1229,355.34µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[15\],355.24µm
_18147_,355.21µm
net1059,355.19µm
net26,355.09µm
_19038_,354.98µm
_22799_,354.5µm
_18532_,354.32µm
net621,354.01µm
net1144,353.76µm
_06878_,353.66µm
_18737_,353.61µm
net372,353.56µm
net56,353.51µm
_10434_,353.12µm
net1090,353.1µm
_24649_,352.9µm
_20218_,352.64µm
net2157,352.59µm
net1921,352.48µm
_10573_,352.44µm
_18115_,352.18µm
_18436_,352.13µm
_16148_,352.08µm
net1271,352.08µm
net1094,351.98µm
_23831_,351.93µm
net253,351.88µm
i_core_v_mini_mcu.peripheral_subsystem_i.obi_fifo_i.consumer_data_req\[22\],351.68µm
_22451_,351.32µm
net1079,351.29µm
net2091,351.04µm
net498,350.99µm
net1167,350.91µm
net1788,350.86µm
net90,350.81µm
_05859_,350.76µm
net1162,350.76µm
net1487,350.76µm
net1260,350.61µm
net1239,350.35µm
net1797,349.79µm
_12410_,349.69µm
net137,349.69µm
_09566_,349.68µm
net1227,349.28µm
_19089_,349.1µm
clknet_4_11_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,349.03µm
_22785_,348.93µm
_18873_,348.82µm
net652,348.52µm
net332,348.06µm
net1760,348.06µm
i_core_v_mini_mcu.ao_peripheral_slave_resp\[3\],347.91µm
net1089,347.87µm
net1044,347.78µm
