net,length_um
net1404,371.53µm
clknet_4_3_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,371.53µm
_14441_,371.29µm
net1136,371.12µm
_25343_,371.07µm
net1488,371.07µm
net811,370.97µm
_14499_,370.92µm
net1476,370.87µm
net328,370.82µm
net929,370.46µm
_12686_,370.24µm
net816,370.22µm
_12561_,370.18µm
net1012,369.9µm
_10660_,369.75µm
_25700_,369.7µm
_14485_,369.39µm
net274,369.39µm
net1477,369.39µm
net380,369.34µm
net838,369.34µm
net1441,369.09µm
clknet_4_1_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,368.78µm
_17546_,368.75µm
_26515_,368.63µm
net797,368.6µm
_08680_,368.22µm
_14514_,368.22µm
net832,368.13µm
net534,368.12µm
net1400,368.12µm
_06593_,368.1µm
net684,368.07µm
net795,367.97µm
net1478,367.97µm
net407,367.9µm
_20025_,367.86µm
net105,367.74µm
net276,367.72µm
net381,367.71µm
_16815_,367.66µm
net1604,367.66µm
net1252,367.51µm
net1562,367.46µm
_21495_,367.41µm
_21432_,367.36µm
_12566_,367.3µm
_10478_,367.25µm
_26490_,367.15µm
net794,367.15µm
net271,367.05µm
_18593_,366.39µm
net268,366.39µm
net1265,366.39µm
net1609,365.98µm
net829,365.88µm
_23243_,365.57µm
net452,365.32µm
_14419_,364.76µm
_17599_,364.76µm
_14556_,364.39µm
_22779_,364.2µm
_05975_,364.07µm
_12440_,363.84µm
net1516,363.49µm
clknet_2_0__leaf_i_core_v_mini_mcu.peripheral_subsystem_i.clk_cg,363.08µm
net1527,362.98µm
net1638,362.72µm
_21484_,362.37µm
net550,362.21µm
net327,362.05µm
net333,361.91µm
clknet_4_12_0_clk_i_regs,361.91µm
net1133,361.86µm
_10925_,361.81µm
net958,361.45µm
_10691_,361.35µm
net679,361.35µm
net1461,361.35µm
net1528,360.6µm
net523,360.43µm
net899,360.38µm
net1525,360.38µm
_17579_,360.2µm
net1303,360.18µm
_24672_,359.97µm
net914,359.9µm
net532,359.77µm
_19071_,359.72µm
net464,359.62µm
net332,359.52µm
net469,359.21µm
net587,358.96µm
net1442,358.86µm
net984,358.45µm
net392,358.09µm
_12434_,357.94µm
_11143_,357.73µm
_05957_,357.48µm
i_core_v_mini_mcu.core_data_req\[7\],357.43µm
net520,357.31µm
net547,357.17µm
net1416,357.15µm
_24368_,357.02µm
net1199,356.99µm
net408,356.84µm
net1238,356.82µm
net923,356.74µm
_23264_,356.73µm
net1219,356.36µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[16\],356.08µm
clknet_4_6_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,356µm
net1624,355.9µm
net434,355.39µm
_12446_,354.89µm
net514,354.73µm
net882,354.73µm
_10739_,354.63µm
net1305,354.63µm
net470,354.48µm
net562,354.02µm
net620,353.99µm
net396,353.76µm
net590,353.76µm
net1281,353.71µm
_14547_,353.66µm
net329,353.46µm
net389,353.44µm
_26482_,352.85µm
net995,352.78µm
_21441_,352.34µm
_05583_,352.08µm
net277,351.98µm
net626,351.93µm
net1008,351.83µm
_05579_,351.62µm
_12598_,351.57µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[17\],351.32µm
_17079_,351.15µm
net401,350.96µm
_12584_,350.91µm
net1107,350.71µm
net1220,350.71µm
_17455_,350.55µm
_24381_,350.25µm
net885,350.25µm
net1486,350.09µm
net1669,349.69µm
net930,349.54µm
_10415_,349.49µm
net1517,349.36µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[21\],349.23µm
_26184_,349.18µm
net1444,349.16µm
_10939_,349.13µm
_14409_,349.13µm
net915,349.13µm
net442,348.62µm
_10940_,348.57µm
_16424_,348.57µm
net483,348.37µm
_17606_,348.35µm
_12672_,348.12µm
clknet_4_11_0_clk_i_regs,348.11µm
net1300,348.06µm
net830,348.01µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[18\],347.96µm
net624,347.94µm
net937,347.4µm
net1115,347.31µm
_10947_,347.14µm
_12574_,346.94µm
net368,346.84µm
_26212_,346.58µm
_06180_,346.38µm
_12372_,345.67µm
net104,345.57µm
_05760_,345.25µm
net1472,345.13µm
_10558_,345.06µm
_21589_,345.01µm
net831,344.7µm
net841,344.65µm
clknet_4_4_0_clk_i_regs,344.19µm
clknet_4_8_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,344.19µm
_10721_,344.09µm
_12363_,344µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[11\],343.99µm
net1803,343.73µm
_14420_,343.66µm
_06401_,343.63µm
_11004_,343.61µm
_10929_,343.48µm
net1157,343.48µm
_13999_,343.43µm
net706,343.38µm
_19087_,343.33µm
_19309_,343.33µm
net1255,343.02µm
net1603,342.92µm
_10786_,342.77µm
net218,342.36µm
net398,342.36µm
_24439_,342.31µm
net1195,341.29µm
net888,341.24µm
_05716_,341.09µm
net394,340.88µm
_24690_,340.73µm
_24402_,340.63µm
net828,340.27µm
_06034_,340.22µm
net1424,340.22µm
net927,340.12µm
clknet_4_14_0_i_core_v_mini_mcu.memory_subsystem_i.clk_cg,339.71µm
net1659,339.66µm
net625,339.61µm
net585,339.51µm
net966,339.51µm
net269,339.46µm
net1733,339.46µm
_12381_,339.3µm
net458,339.15µm
net827,339µm
clknet_4_2_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.clk_i,338.95µm
net546,338.59µm
net1618,338.49µm
clknet_4_8_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,338.44µm
_26656_,338.35µm
_12490_,338.29µm
_14397_,338.11µm
_19081_,337.88µm
_18598_,337.83µm
i_core_v_mini_mcu.ao_peripheral_subsystem_i.spi_subsystem_i.obi_spimemio_i.cfgreg_do\[10\],337.78µm
net1060,337.78µm
net1635,337.52µm
_21604_,336.94µm
net229,336.81µm
_16497_,336.76µm
net1127,336.4µm
net384,336.36µm
i_core_v_mini_mcu.core_data_req\[24\],336.3µm
net1168,336.25µm
_05998_,336.2µm
_12366_,336.2µm
clknet_4_4_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,336.2µm
net1417,335.72µm
net153,335.59µm
i_core_v_mini_mcu.cpu_subsystem_i.cpu_1_0.i_servile.o_rf_raddr\[2\],335.54µm
net1608,335.33µm
_06104_,335.18µm
net149,335.08µm
net280,335.03µm
_06021_,334.98µm
net1019,334.77µm
net1418,334.57µm
net944,334.47µm
_18394_,334.42µm
_21340_,334.32µm
_10572_,334.25µm
net395,334.06µm
net683,333.96µm
net1871,333.96µm
_10621_,333.91µm
net541,333.55µm
net1661,333.55µm
net912,333.3µm
net711,333.11µm
net412,333.04µm
net413,333.04µm
net1653,332.94µm
_09639_,332.84µm
_05991_,332.74µm
_05965_,332.6µm
_24393_,332.53µm
net1434,332.43µm
_26503_,332.33µm
net1162,332.33µm
_26457_,332.28µm
_17624_,332.26µm
net1511,332.23µm
_05973_,332.22µm
_16413_,332.18µm
net278,332.14µm
clknet_4_2_0_i_core_v_mini_mcu.cpu_subsystem_i.cpu_0_0.clk_i,332.05µm
_05992_,332.02µm
net424,331.87µm
_21655_,331.72µm
net877,331.72µm
_14589_,331.67µm
_25204_,331.52µm
net1057,331.26µm
_10687_,331.21µm
net429,331.21µm
_09511_,331.16µm
net1843,331.11µm
net1550,330.7µm
net1307,330.6µm
_23241_,330.55µm
net427,330.26µm
_14505_,330.09µm
net543,329.97µm
net513,329.94µm
_10669_,329.76µm
net430,329.7µm
_24503_,329.63µm
_14210_,329.58µm
net1633,329.48µm
_17451_,329.12µm
